不可重复,日语原文,中文翻译,使用声音文件,声音开始时间,声音结束时间
id,japanese,chinese,sound_file,sound_start,sound_end
int,string,string,string,float,float
0,無し,无,,0,0
1,兄が私達一家を支えてくれている。,哥哥一直支撑着我们一家。,res://assets/sounds/Chapter1_Section1.mp3,1.67,6.61
2,家族は本当にありがたい存在だ。,有家人就好。,res://assets/sounds/Chapter1_Section1.mp3,8.95,12.93
3,家族みんなで問題に向き合っている。,家人一起直面问题。,res://assets/sounds/Chapter1_Section1.mp3,15.34,19.22
4,最近、家族のありがたさをつくづくと感じる。,最近我深感有家人的好。,res://assets/sounds/Chapter1_Section1.mp3,23.18,28.55
5,父は一生懸命に働いて、家族を養っている。,父亲拼命工作养活我们全家。,res://assets/sounds/Chapter1_Section1.mp3,30.8,36.77
6,子どもを育てることが親の役目だ。,养育孩子是父母的职责。,res://assets/sounds/Chapter1_Section1.mp3,38.97,43.18
7,妹は子どもの頃から、母に甘えている。,妹妹从小爱和母亲撒娇。,res://assets/sounds/Chapter1_Section1.mp3,45.33,50.49
8,父に「おまえは世間知らずだ」と言われた。,父亲说我人生阅历太浅。,res://assets/sounds/Chapter1_Section1.mp3,53,58.13
9,子どものしつけは、親の義務だ。,对孩子的管教是父母的义务。,res://assets/sounds/Chapter1_Section1.mp3,60.04,64.02
10,兄は妹のいたずらを母に言いつけた。,哥哥向妈妈报告了妹妹的淘气事。,res://assets/sounds/Chapter1_Section1.mp3,66.28,71.27
11,兄は自立して、一人暮らしをしている。,哥哥已经自立，独自一个人生活。,res://assets/sounds/Chapter1_Section1.mp3,73.67,78.01
12,妹はアメリカに語学留学したいと言い出した。,妹妹说要去美国留学学外语。,res://assets/sounds/Chapter1_Section1.mp3,80.04,86
13,親に自分の意思を伝えるのは難しい。,向父母表达自己的想法很难。,res://assets/sounds/Chapter1_Section1.mp3,87.98,92.88
14,両親はいつも、私の意見を尊重してくれる。,父母一直都很尊重我的意思。,res://assets/sounds/Chapter1_Section1.mp3,95.24,100.46
15,父は私の留学に反対だったが、母が説得してくれた。,父亲虽然反对我留学，但母亲帮我说服了他。,res://assets/sounds/Chapter1_Section1.mp3,102.86,109.98
16,父は私の留学を、やっと納得してくれた。,父亲终于同意让我留学了。,res://assets/sounds/Chapter1_Section1.mp3,112.26,117.46
17,若いときは、よく親に逆らった。,年轻时总是违抗父母。,res://assets/sounds/Chapter1_Section1.mp3,119.44,123.74
18,強い風に逆らって歩く。,顶着强风前行。,res://assets/sounds/Chapter1_Section1.mp3,123.74,127.32
19,昔親に逆らったことを、今は反省している。,我现在总反省自己当年违抗了父母。,res://assets/sounds/Chapter1_Section1.mp3,129.79,135.82
20,父はいちいちうるさい。放っておいてほしい。,爸爸罗嗦得很，真希望他不要管我。,res://assets/sounds/Chapter1_Section1.mp3,138.21,143.61
21,家族みんなで祖母を介護している。,全家人一起照料奶奶。,res://assets/sounds/Chapter1_Section1.mp3,145.7,150.25
22,週に３回、ホームヘルパーに来てもらう。,每周请家庭护理人员来３次。,res://assets/sounds/Chapter1_Section1.mp3,152.83,157.41
23,世代が違うと、話が合わないこともある。,世代不同说话会有代沟。,res://assets/sounds/Chapter1_Section1.mp3,159.45,164.31
24,来年、父の会社を継ぐことになった。,明年我将继承父亲的公司。,res://assets/sounds/Chapter1_Section1.mp3,166.31,170.95
25,妹は妊娠３か月だ。,妹妹怀孕３个月了。,res://assets/sounds/Chapter1_Section1.mp3,173.27,177.1
26,実家の近くの病院で出産することにした。,决定在娘家附近的医院生孩子。,res://assets/sounds/Chapter1_Section1.mp3,179.38,184.46
27,姉は二十歳のときに長男を産んだ。,姐姐二十岁的时候生了长男。,res://assets/sounds/Chapter1_Section1.mp3,186.37,190.98
28,国から友人が遊びに来た。,有母国的朋友来玩。,res://assets/sounds/Chapter1_Section2.mp3,2,5.77
29,このクラスの生徒は、とても仲がいい。,这个班里的学生关系都很好。,res://assets/sounds/Chapter1_Section2.mp3,7.81,12.03
30,縁があって、彼女と親友になれた。,有缘与她成了挚友。,res://assets/sounds/Chapter1_Section2.mp3,13.82,18.18
31,彼と私はニックネームで呼び合っている。,我们以小名互相称呼对方。,res://assets/sounds/Chapter1_Section2.mp3,20.44,24.96
32,一日の大半の時間を友達と過ごしている。,一天有大半的时间和朋友一起度过。,res://assets/sounds/Chapter1_Section2.mp3,26.96,32.18
33,私は、いつも友人に恵まれている。,我常常幸遇善友。,res://assets/sounds/Chapter1_Section2.mp3,34.56,38.89
34,私達は親友なのだから、困ったときは頼ってほしい。,我们是好朋友，有什么烦恼事一定要告诉我。,res://assets/sounds/Chapter1_Section2.mp3,41.1,47.36
35,彼女は何でも相談できる頼もしい存在だ。,她是个什么事都能商量的可靠的人。,res://assets/sounds/Chapter1_Section2.mp3,49.66,54.54
36,私には見習うべき友人が何人かいる。,我有好几个值得学习的朋友。,res://assets/sounds/Chapter1_Section2.mp3,56.65,61.96
37,親友だけに秘密を打ち明けた。,我只好好朋友吐露秘密。,res://assets/sounds/Chapter1_Section2.mp3,64.26,68.33
38,私が試験に落ちたとき、友達が励ましてくれた。,我考试不及格的时候，朋友鼓励了我。,res://assets/sounds/Chapter1_Section2.mp3,70.54,76.14
39,大切な友達だから、あえて厳しい忠告もする。,因为是很重要的朋友，所以敢说逆耳忠言的话。,res://assets/sounds/Chapter1_Section2.mp3,78.22,83.65
40,彼女にふられたとき、友達がなぐさめてくれた。,被女朋友甩了以后，朋友安慰了我。,res://assets/sounds/Chapter1_Section2.mp3,86.05,91.08
41,彼女の気持ちを察して、何も言わなかった。,我揣测到了她的想法，什么也没有说。,res://assets/sounds/Chapter1_Section2.mp3,93.31,98.3
42,周りの人への思いやりを大切にしたい。,我想好好珍惜对周围人的体谅之心。,res://assets/sounds/Chapter1_Section2.mp3,100.47,105.02
43,友達との何気ない会話が楽しい。,和朋友们坦然自若地对话很开心。,res://assets/sounds/Chapter1_Section2.mp3,107.5,111.52
44,彼女ができて、友達にからかわれた。,有了女朋友，被朋友们开玩笑了。,res://assets/sounds/Chapter1_Section2.mp3,113.84,118
45,仲間の飲み会では、いつも私が幹事だ。,和同伴们出去喝酒，经常出我负责。,res://assets/sounds/Chapter1_Section2.mp3,120.14,124.93
46,夜遅く、親友に「飲みに行こう」と呼び出された。,半夜被好朋友叫出去喝酒了。,res://assets/sounds/Chapter1_Section2.mp3,127.17,132.88
47,パーティーは盛り上がって、夜中まで続いた。,宴会气氛非常高涨，一直进行到深夜。,res://assets/sounds/Chapter1_Section2.mp3,135.4,140.02
48,地震で道が盛り上がった。,因地震地面隆起来了。,res://assets/sounds/Chapter1_Section2.mp3,140.02,143.42
49,彼はいつも遅刻するので、あきれてしまう。,他老是迟到，真是无话可说。,res://assets/sounds/Chapter1_Section2.mp3,145.82,150.38
50,友達とふざけていたら、転んで足の骨を折った。,和朋友打闹的时候，不小心摔倒腿部骨折了。,res://assets/sounds/Chapter1_Section2.mp3,152.72,158.45
51,高校時代のクラスメートと久しく会っていない。,和高中时代的同学好久没见面了。,res://assets/sounds/Chapter1_Section2.mp3,160.64,165.84
